Seq.   (i);Núm.;Candidato;Partido/Coligação;Votação;% Válidos
0162;19012;LOURDES DA SAÚDE;PTN;315;0,14 %
0163;12222;HUGUINHO;PDT - PDT / PSB / PPS;310;0,14 %
0164;51077;ADONIS FELIX;PEN - PTB / PTC / PEN;306;0,14 %
0165;23000;PROFESSORA SURAMA;PPS - PDT / PSB / PPS;305;0,14 %
0166;14222;RAIMUNDO BISPO;PTB - PTB / PTC / PEN;296;0,14 %
0167;19300;ELCIONE DA CLINICA DR ORNELLAS;PTN;294;0,13 %
0168;77777;EDGARD MARTINS;SD - DEM / PMDB / SD;291;0,13 %
0169;90888;ANSELMO ASSIS;PROS - PP / PT do B / PC do B / PROS;289;0,13 %
0170;25025;EDSON CORDEIRO;DEM - DEM / PMDB / SD;286;0,13 %
0171;35000;CARLOS RENATO;PMB - PSL / PMB;284;0,13 %
0172;33033;CARLOS ALMEIDA;PMN - PHS / PMN;275;0,13 %
0173;31555;GRAÇA WALCHER;PHS - PHS / PMN;273;0,13 %
0174;19233;MAZINHO;PTN;273;0,13 %
0175;45104;ROMILSON O BAIXINHO - HORRIVEL;PSDB - PSDB / PR;269;0,12 %
0176;55777;PENHA PERIM;PSD - PSD / PSC / PV;263;0,12 %
0177;11333;DEISE FIORESE;PP - PP / PT do B / PC do B / PROS;262;0,12 %
0178;19456;WELLINGTON PEÇANHA;PTN;259;0,12 %
0179;23777;LILIA BARROS;PPS - PDT / PSB / PPS;254;0,12 %
0180;27123;IDELFONSO DA VITORIA;PSDC - PRB / PSDC / REDE;253;0,12 %
0181;44144;GILBERTO ALVES;PRP;251;0,12 %
0182;36360;LÉO DA SAUDE;PTC - PTB / PTC / PEN;245;0,11 %
0183;55600;FABIANO LEMOS;PSD - PSD / PSC / PV;245;0,11 %
0184;12333;ADEMIR JUNIOR;PDT - PDT / PSB / PPS;244;0,11 %
0185;11111;ROGERIA XIMENES;PP - PP / PT do B / PC do B / PROS;243;0,11 %
0186;18007;ARILDO ARANHA;REDE - PRB / PSDC / REDE;242;0,11 %
0187;17555;DRA. DOROTÉIA CABRAL;PSL - PSL / PMB;236;0,11 %
0188;10101;EDÉZIO É 10;PRB - PRB / PSDC / REDE;236;0,11 %
0189;45100;RONAN BRAGA;PSDB - PSDB / PR;236;0,11 %
0190;17100;TIO MILTON;PSL - PSL / PMB;229;0,11 %
0191;70000;ZE DO CANIL;PT do B - PP / PT do B / PC do B / PROS;225;0,10 %
0192;44777;DR JOSÉ LUIZ;PRP;225;0,10 %
0193;22123;NEDIR HONORATO;PR - PSDB / PR;224;0,10 %
0194;36800;ARTUR NETO;PTC - PTB / PTC / PEN;221;0,10 %
0195;40444;MISSIONÁRIA DORA;PSB - PDT / PSB / PPS;221;0,10 %
0196;77614;MARQUINHO DOS RODOVIARIOS;SD - DEM / PMDB / SD;216;0,10 %
0197;65610;TAREBA;PC do B - PP / PT do B / PC do B / PROS;215;0,10 %
0198;90567;DANIEL DO CAMINHÃO;PROS - PP / PT do B / PC do B / PROS;215;0,10 %
0199;19444;SORAIA FERNANDES;PTN;212;0,10 %
0200;45222;IZABEL CARDOSO;PSDB - PSDB / PR;210;0,10 %
0201;18888;ALAN KARDEC;REDE - PRB / PSDC / REDE;208;0,10 %
0202;25100;JOSUÉ DA TOCA;DEM - DEM / PMDB / SD;203;0,09 %
0203;90000;ISMENIO SANTOS;PROS - PP / PT do B / PC do B / PROS;198;0,09 %
0204;77000;VICENTE JUNIOR;SD - DEM / PMDB / SD;192;0,09 %
0205;27500;LELIA CARVALHO;PSDC - PRB / PSDC / REDE;191;0,09 %
0206;44447;KIM MOTORISTA AMIGO;PRP;191;0,09 %
0207;19400;JORGINHO NAMORADOR;PTN;189;0,09 %
0208;55666;JULIO LISBOA;PSD - PSD / PSC / PV;189;0,09 %
0209;45236;VERA FÁVARES;PSDB - PSDB / PR;189;0,09 %
0210;55006;SUELY CASAGRANDE;PSD - PSD / PSC / PV;183;0,08 %
0211;55100;ROGERIO DOMINGOS;PSD - PSD / PSC / PV;182;0,08 %
0212;44448;CASTRO;PRP;178;0,08 %
0213;77700;PROFESSORA LINDOMAR;SD - DEM / PMDB / SD;175;0,08 %
0214;40256;MARILENE VIANA;PSB - PDT / PSB / PPS;175;0,08 %
0215;44024;EDINHO TATOO;PRP;171;0,08 %
0216;36000;CLAUDIO SEABRA;PTC - PTB / PTC / PEN;169;0,08 %
0217;25555;PROFESSOR PAULO PINTO;DEM - DEM / PMDB / SD;168;0,08 %
0218;44222;NATURESA;PRP;164;0,08 %
0219;43210;VANDER MENDONÇA;PV - PSD / PSC / PV;164;0,08 %
0220;44999;ROSEMARY DO POSTINHO;PRP;147;0,07 %
0221;25111;YARA RANGEL;DEM - DEM / PMDB / SD;144;0,07 %
0222;55550;ARNALDO PERGENTINO;PSD - PSD / PSC / PV;135;0,06 %
0223;20123;EDUARDO KIKA;PSC - PSD / PSC / PV;135;0,06 %
0224;11222;LUCIANO LAZARINO;PP - PP / PT do B / PC do B / PROS;134;0,06 %
0225;77888;GAROTINHO;SD - DEM / PMDB / SD;126;0,06 %
0226;23190;JADIR ALMEIDA;PPS - PDT / PSB / PPS;120;0,06 %
0227;77222;ABNAEL;SD - DEM / PMDB / SD;116;0,05 %
0228;19221;REGINA MARIA;PTN;115;0,05 %
0229;43444;FERNANDO OLIVEIRA;PV - PSD / PSC / PV;112;0,05 %
0230;43200;PROFESSORA VIVIANE COUTINHO;PV - PSD / PSC / PV;107;0,05 %
0231;40300;ANDREIA MALTA DANTAS;PSB - PDT / PSB / PPS;104;0,05 %
0232;23023;ALOISIO COBE (KEKE);PPS - PDT / PSB / PPS;104;0,05 %
0233;77755;DORA;SD - DEM / PMDB / SD;102;0,05 %
0234;45022;MARINETE NETTO;PSDB - PSDB / PR;101;0,05 %
0235;55333;DENICE SOCIAL;PSD - PSD / PSC / PV;98;0,04 %
0236;55205;PROFª KATIA;PSD - PSD / PSC / PV;95;0,04 %
0237;45313;VAL;PSDB - PSDB / PR;92;0,04 %
0238;40400;BRUNO PAIXÃO;PSB - PDT / PSB / PPS;86;0,04 %
0239;31345;DANI DA JUVENTUDE;PHS - PHS / PMN;85;0,04 %
0240;14888;MARA;PTB - PTB / PTC / PEN;82;0,04 %
0241;33456;ANDREIA RODRIGUES;PMN - PHS / PMN;79;0,04 %
0242;33336;ELZENI GOMES;PMN - PHS / PMN;79;0,04 %
0243;10190;LUCYANA LANÇA;PRB - PRB / PSDC / REDE;74;0,03 %
0244;33231;ZANINHA DA COMUNIDADE;PMN - PHS / PMN;73;0,03 %
0245;19033;MARA NENEM;PTN;71;0,03 %
0246;90900;ISTAEL NERY;PROS - PP / PT do B / PC do B / PROS;69;0,03 %
0247;27699;PASTORA ELIANA;PSDC - PRB / PSDC / REDE;69;0,03 %
0248;12551;ZAZA BRITTO;PDT - PDT / PSB / PPS;68;0,03 %
0249;40999;JAQUELINE NERY;PSB - PDT / PSB / PPS;68;0,03 %
0250;90222;LUCIA PEREIRA;PROS - PP / PT do B / PC do B / PROS;67;0,03 %
